
Field ID	Description	Category
20126	Bipolar and major depression status	Mental health  
20122	Bipolar disorder status	Mental health  
20400	Date of completing mental health questionnaire	Mental health  
4598	Ever depressed for a whole week	Mental health  
4653	Ever highly irritable/argumentative for 2 days	Mental health  
4642	Ever manic/hyper for 2 days	Mental health  
4631	Ever unenthusiastic/disinterested for a whole week	Mental health  
4559	Family relationship satisfaction	Mental health  
1960	Fed-up feelings	Mental health  
4581	Financial situation satisfaction	Mental health  
2050	Frequency of depressed mood in last 2 weeks	Mental health  
2070	Frequency of tenseness / restlessness in last 2 weeks	Mental health  
2080	Frequency of tiredness / lethargy in last 2 weeks	Mental health  
2060	Frequency of unenthusiasm / disinterest in last 2 weeks	Mental health  
4570	Friendships satisfaction	Mental health  
2030	Guilty feelings	Mental health  
4526	Happiness	Mental health  
4548	Health satisfaction	Mental health  
6145	Illness, injury, bereavement, stress in last 2 years	Mental health  
10721	Illness, injury, bereavement, stress in last 2 years (pilot)	Mental health  
1940	Irritability	Mental health  
5663	Length of longest manic/irritable episode	Mental health  
2020	Loneliness, isolation	Mental health  
4609	Longest period of depression	Mental health  
5375	Longest period of unenthusiasm / disinterest	Mental health  
6156	Manic/hyper symptoms	Mental health  
1930	Miserableness	Mental health  
1920	Mood swings	Mental health  
1970	Nervous feelings	Mental health  
20127	Neuroticism score	Mental health  
4620	Number of depression episodes	Mental health  
5386	Number of unenthusiastic/disinterested episodes	Mental health  
20124	Probable recurrent major depression (moderate)	Mental health  
20125	Probable recurrent major depression (severe)	Mental health  
2040	Risk taking	Mental health  
2100	Seen a psychiatrist for nerves, anxiety, tension or depression	Mental health  
2090	Seen doctor (GP) for nerves, anxiety, tension or depression	Mental health  
1950	Sensitivity / hurt feelings	Mental health  
5674	Severity of manic/irritable episodes	Mental health  
20123	Single episode of probable major depression	Mental health  
2010	Suffer from 'nerves'	Mental health  
1990	Tense / 'highly strung'	Mental health  
4537	Work/job satisfaction	Mental health  
1980	Worrier / anxious feelings	Mental health  
2000	Worry too long after embarrassment	Mental health  
20554	Actions taken following self-harm	Self-harm behaviours  
20484	Attempted suicide in past year	Self-harm behaviours  
20486	Contemplated self-harm in past year	Self-harm behaviours  
20483	Ever attempted suicide	Self-harm behaviours  
20485	Ever contemplated self-harm	Self-harm behaviours  
20480	Ever self-harmed	Self-harm behaviours  
20479	Ever thought that life not worth living	Self-harm behaviours  
20553	Methods of self-harm used	Self-harm behaviours  
20482	Number of times self-harmed	Self-harm behaviours  
20481	Self-harmed in past year	Self-harm behaviours  
20525	Able to pay rent/mortgage as an adult	Traumatic events  
20495	Avoided activities or situations because of previous stressful experience in past month	Traumatic events  
20522	Been in a confiding relationship as an adult	Traumatic events  
20526	Been in serious accident believed to be life-threatening	Traumatic events  
20527	Been involved in combat or exposed to war-zone	Traumatic events  
20521	Belittlement by partner or ex-partner as an adult	Traumatic events  
20528	Diagnosed with life-threatening illness	Traumatic events  
20496	Felt distant from other people in past month	Traumatic events  
20487	Felt hated by family member as a child	Traumatic events  
20494	Felt irritable or had angry outbursts in past month	Traumatic events  
20489	Felt loved as a child	Traumatic events  
20498	Felt very upset when reminded of stressful experience in past month	Traumatic events  
20523	Physical violence by partner or ex-partner as an adult	Traumatic events  
20488	Physically abused by family as a child	Traumatic events  
20497	Repeated disturbing thoughts of stressful experience in past month	Traumatic events  
20524	Sexual interference by partner or ex-partner without consent as an adult	Traumatic events  
20490	Sexually molested as a child	Traumatic events  
20491	Someone to take to doctor when needed as a child	Traumatic events  
20529	Victim of physically violent crime	Traumatic events  
20531	Victim of sexual assault	Traumatic events  
20530	Witnessed sudden violent death	Traumatic events  
20461	Age when first had unusual or psychotic experience	Unusual and psychotic experiences  
20462	Distress caused by unusual or psychotic experiences	Unusual and psychotic experiences  
20468	Ever believed in an un-real conspiracy against self	Unusual and psychotic experiences  
20474	Ever believed in un-real communications or signs	Unusual and psychotic experiences  
20463	Ever heard an un-real voice	Unusual and psychotic experiences  
20466	Ever prescribed a medication for unusual or psychotic experiences	Unusual and psychotic experiences  
20471	Ever seen an un-real vision	Unusual and psychotic experiences  
20477	Ever talked to a health professional about unusual or psychotic experiences	Unusual and psychotic experiences  
20467	Frequency of unusual or psychotic experiences in past year	Unusual and psychotic experiences  
20470	Number of times believed in an un-real conspiracy against self	Unusual and psychotic experiences  
20476	Number of times believed in un-real communications or signs	Unusual and psychotic experiences  
20465	Number of times heard an un-real voice	Unusual and psychotic experiences  
20473	Number of times seen an un-real vision	Unusual and psychotic experiences  
